code,name,year,month,year_month,up_count
000065,北方国际,2023,2,2023-02,2
000065,北方国际,2024,2,2024-02,1
000065,北方国际,2025,2,2025-02,3
000065,北方国际,2023,4,2023-04,4
000065,北方国际,2024,4,2024-04,3
000065,北方国际,2025,4,2025-04,1
000066,中国长城,2023,1,2023-01,1
000066,中国长城,2024,1,2024-01,1
000066,中国长城,2025,1,2025-01,1
000066,中国长城,2023,2,2023-02,2
000066,中国长城,2024,2,2024-02,3
000066,中国长城,2025,2,2025-02,4
000066,中国长城,2023,10,2023-10,1
000066,中国长城,2024,10,2024-10,6
000066,中国长城,2025,10,2025-10,1
000070,特发信息,2023,1,2023-01,1
000070,特发信息,2024,1,2024-01,5
000070,特发信息,2025,1,2025-01,1
000070,特发信息,2023,4,2023-04,1
000070,特发信息,2024,4,2024-04,3
000070,特发信息,2025,4,2025-04,1
000070,特发信息,2023,10,2023-10,2
000070,特发信息,2024,10,2024-10,1
000070,特发信息,2025,10,2025-10,1
000070,特发信息,2023,11,2023-11,1
000070,特发信息,2024,11,2024-11,1
000070,特发信息,2025,11,2025-11,4
000078,海王生物,2023,12,2023-12,1
000078,海王生物,2024,12,2024-12,1
000078,海王生物,2025,12,2025-12,5
000158,常山北明,2023,2,2023-02,1
000158,常山北明,2024,2,2024-02,3
000158,常山北明,2025,2,2025-02,6
000158,常山北明,2023,4,2023-04,1
000158,常山北明,2024,4,2024-04,2
000158,常山北明,2025,4,2025-04,3
000158,常山北明,2023,10,2023-10,4
000158,常山北明,2024,10,2024-10,13
000158,常山北明,2025,10,2025-10,1
000159,国际实业,2023,4,2023-04,1
000159,国际实业,2024,4,2024-04,1
000159,国际实业,2025,4,2025-04,1
000159,国际实业,2023,6,2023-06,1
000159,国际实业,2024,6,2024-06,1
000159,国际实业,2025,6,2025-06,3
000338,潍柴动力,2023,2,2023-02,2
000338,潍柴动力,2024,2,2024-02,1
000338,潍柴动力,2025,2,2025-02,1
000400,许继电气,2023,4,2023-04,1
000400,许继电气,2024,4,2024-04,1
000400,许继电气,2025,4,2025-04,1
000404,长虹华意,2023,4,2023-04,1
000404,长虹华意,2024,4,2024-04,1
000404,长虹华意,2025,4,2025-04,1
000409,云鼎科技,2023,1,2023-01,1
000409,云鼎科技,2024,1,2024-01,1
000409,云鼎科技,2025,1,2025-01,1
000409,云鼎科技,2023,2,2023-02,1
000409,云鼎科技,2024,2,2024-02,3
000409,云鼎科技,2025,2,2025-02,1
000409,云鼎科技,2023,6,2023-06,1
000409,云鼎科技,2024,6,2024-06,1
000409,云鼎科技,2025,6,2025-06,1
000410,沈阳机床,2023,10,2023-10,1
000410,沈阳机床,2024,10,2024-10,4
000410,沈阳机床,2025,10,2025-10,2
000419,通程控股,2023,12,2023-12,1
000419,通程控股,2024,12,2024-12,2
000419,通程控股,2025,12,2025-12,1
000420,吉林化纤,2023,12,2023-12,1
000420,吉林化纤,2024,12,2024-12,2
000420,吉林化纤,2025,12,2025-12,1
000422,湖北宜化,2023,5,2023-05,1
000422,湖北宜化,2024,5,2024-05,5
000422,湖北宜化,2025,5,2025-05,2
000422,湖北宜化,2023,7,2023-07,1
000422,湖北宜化,2024,7,2024-07,2
000422,湖北宜化,2025,7,2025-07,1
000426,兴业银锡,2023,3,2023-03,2
000426,兴业银锡,2024,3,2024-03,2
000426,兴业银锡,2025,3,2025-03,1
000426,兴业银锡,2023,4,2023-04,1
000426,兴业银锡,2024,4,2024-04,2
000426,兴业银锡,2025,4,2025-04,2
000426,兴业银锡,2023,7,2023-07,1
000426,兴业银锡,2024,7,2024-07,4
000426,兴业银锡,2025,7,2025-07,1
000426,兴业银锡,2023,10,2023-10,1
000426,兴业银锡,2024,10,2024-10,2
000426,兴业银锡,2025,10,2025-10,2
000428,华天酒店,2023,9,2023-09,1
000428,华天酒店,2024,9,2024-09,1
000428,华天酒店,2025,9,2025-09,1
000503,国新健康,2023,4,2023-04,1
