trade_date,code,name,open,pct_chg
2023-01-03,000070,特发信息,7.0,6.07
2023-01-03,002184,海得控制,11.44,10.03
2023-01-03,002979,雷赛智能,22.49,5.0
2023-01-03,300068,南都电源,21.48,7.23
2023-01-03,300188,国投智能,12.86,5.37
2023-01-03,300251,光线传媒,8.7,6.47
2023-01-03,300396,迪瑞医疗,24.6,5.24
2023-01-03,301159,三维天地,25.97,10.43
2023-01-03,301391,卡莱特,85.0,6.54
2023-01-03,301396,宏景科技,34.55,6.08
2023-01-03,600520,三佳科技,16.1,9.99
2023-01-03,600557,康缘药业,18.83,5.6
2023-01-03,600941,中国移动,67.67,6.32
2023-01-03,603368,柳药集团,18.77,7.12
2023-01-03,603466,风语筑,13.9,9.39
2023-01-03,603888,新华网,17.45,6.33
2023-01-03,688030,山石网科,19.59,5.34
2023-01-03,688316,青云科技-U,28.27,6.91
2023-01-03,688401,路维光电,43.72,11.42
2023-01-03,688579,山大地纬,9.73,17.47
2023-01-04,002184,海得控制,13.03,9.99
2023-01-04,002508,老板电器,27.0,6.02
2023-01-04,300720,海川智能,13.13,8.05
2023-01-04,600520,三佳科技,18.27,10.0
2023-01-04,688428,诺诚健华-U,14.95,5.54
2023-01-05,002184,海得控制,15.26,10.02
2023-01-05,002304,洋河股份,158.99,5.1
2023-01-05,600702,舍得酒业,156.31,5.05
2023-01-05,605133,嵘泰股份,26.08,10.0
2023-01-06,301188,力诺药包,14.03,5.42
2023-01-06,600933,爱柯迪,18.2,6.58
2023-01-06,603997,继峰股份,14.85,5.96
2023-01-06,605133,嵘泰股份,28.55,5.36
2023-01-09,002304,洋河股份,168.0,6.14
2023-01-09,300979,华利集团,58.57,5.22
2023-01-09,301188,力诺药包,15.0,7.51
2023-01-09,301391,卡莱特,94.51,5.5
2023-01-10,301391,卡莱特,100.0,9.99
2023-01-10,603227,雪峰科技,9.17,10.04
2023-01-10,603338,浙江鼎力,46.2,5.11
2023-01-10,605133,嵘泰股份,30.32,10.01
2023-01-11,002045,国光电器,12.89,6.49
2023-01-11,300988,津荣天宇,24.84,10.17
2023-01-12,002184,海得控制,15.2,5.91
2023-01-12,002264,新 华 都,5.99,10.07
2023-01-12,300227,光韵达,7.05,6.87
2023-01-12,300484,蓝海华腾,11.3,6.85
2023-01-12,300979,华利集团,62.18,6.21
2023-01-12,301025,读客文化,10.31,7.92
2023-01-13,300396,迪瑞医疗,24.03,6.14
2023-01-13,688428,诺诚健华-U,15.03,5.57
2023-01-13,920641,格利尔,10.55,6.45
2023-01-16,002979,雷赛智能,23.14,5.71
2023-01-16,300327,中颖电子,38.8,6.2
2023-01-16,300577,开润股份,15.52,7.16
2023-01-16,600559,老白干酒,29.57,10.01
2023-01-16,688065,凯赛生物,60.9,8.42
2023-01-17,000610,西安旅游,14.79,10.03
2023-01-17,002725,跃岭股份,8.45,9.95
2023-01-17,300227,光韵达,7.48,7.97
2023-01-17,300396,迪瑞医疗,25.22,9.4
2023-01-17,300726,宏达电子,42.91,8.48
2023-01-17,688401,路维光电,47.85,5.91
2023-01-18,002725,跃岭股份,10.21,10.02
2023-01-18,300227,光韵达,8.15,8.98
2023-01-19,000014,沙河股份,9.86,6.04
2023-01-19,002725,跃岭股份,11.23,9.99
2023-01-19,300251,光线传媒,8.99,5.49
2023-01-19,301396,宏景科技,36.8,5.89
2023-01-20,000610,西安旅游,14.25,5.13
2023-01-20,002184,海得控制,13.88,5.46
2023-01-20,300988,津荣天宇,23.9,5.3
2023-01-20,600250,南京商旅,5.28,5.11
2023-01-20,600389,江山股份,46.15,5.19
2023-01-30,002111,威海广泰,10.55,5.0
2023-01-30,002184,海得控制,14.56,10.01
2023-01-30,002979,雷赛智能,24.5,5.1
2023-01-30,003000,劲仔食品,11.17,5.87
2023-01-30,300227,光韵达,9.34,15.48
2023-01-30,300592,华凯易佰,15.6,5.16
2023-01-30,300987,川网传媒,15.85,5.07
2023-01-30,301188,力诺药包,16.1,6.16
2023-01-30,600199,金种子酒,26.33,6.09
2023-01-30,600250,南京商旅,5.7,10.09
2023-01-30,600702,舍得酒业,175.0,9.64
2023-01-30,600933,爱柯迪,23.57,9.99
2023-01-30,603997,继峰股份,15.0,8.64
2023-01-30,605133,嵘泰股份,34.11,10.0
2023-01-30,688006,杭可科技,50.18,5.7
2023-01-31,002184,海得控制,16.2,9.99
