trade_date,code,name,open,pct_chg
2023-01-03,300521,爱司凯,9.88,5.75
2023-01-03,300534,陇神戎发,9.02,5.07
2023-01-03,300824,北鼎股份,8.84,6.74
2023-01-03,301380,挖金客,34.66,5.24
2023-01-03,600225,退市卓朗,6.99,10.05
2023-01-03,600242,退市中昌,1.21,5.22
2023-01-03,600766,退市园城,15.19,10.01
2023-01-03,603102,百合股份,40.95,10.0
2023-01-03,603508,思维列控,16.75,6.8
2023-01-03,603603,退市博天,4.77,5.05
2023-01-03,603790,雅运股份,10.0,9.99
2023-01-04,600139,*ST西源,1.18,5.0
2023-01-04,600311,*ST荣华,1.19,5.31
2023-01-05,600311,*ST荣华,1.25,5.04
2023-01-05,600898,*ST美讯,5.45,10.09
2023-01-06,300526,中潜退,12.29,5.4
2023-01-06,600070,*ST富润,5.74,7.34
2023-01-06,600242,退市中昌,1.36,5.26
2023-01-06,600731,湖南海利,7.82,7.76
2023-01-06,603508,思维列控,17.39,7.86
2023-01-09,300742,越博退,10.59,8.35
2023-01-09,301051,信濠光电,52.24,6.13
2023-01-09,600242,退市中昌,1.37,5.0
2023-01-09,600311,*ST荣华,1.19,5.0
2023-01-09,601028,玉龙股份,11.35,5.48
2023-01-09,603036,如通股份,10.8,9.04
2023-01-10,301051,信濠光电,54.36,5.8
2023-01-10,600139,*ST西源,1.16,5.0
2023-01-10,603102,百合股份,44.33,7.29
2023-01-11,300521,爱司凯,11.05,6.43
2023-01-13,301290,东星医疗,38.28,5.67
2023-01-13,600260,*ST凯乐,0.67,5.63
2023-01-13,600387,退市海越,7.2,5.68
2023-01-13,600705,中航产融,3.42,10.03
2023-01-16,301051,信濠光电,57.6,6.77
2023-01-16,301195,北路智控,76.02,5.82
2023-01-16,301380,挖金客,35.74,10.72
2023-01-16,600242,退市中昌,1.45,5.0
2023-01-16,600311,*ST荣华,1.18,5.08
2023-01-16,600705,中航产融,3.91,9.92
2023-01-16,603790,雅运股份,11.38,8.27
2023-01-17,300882,万胜智能,16.61,10.44
2023-01-17,600077,*ST宋都,2.62,9.92
2023-01-17,600898,*ST美讯,5.64,9.93
2023-01-18,301255,通力科技,38.03,6.46
2023-01-18,301380,挖金客,38.59,9.87
2023-01-19,600242,退市中昌,1.38,5.07
2023-01-19,600705,中航产融,4.07,8.19
2023-01-19,603586,金麒麟,15.18,5.16
2023-01-20,300521,爱司凯,11.65,8.76
2023-01-20,300534,陇神戎发,9.14,5.09
2023-01-20,600705,中航产融,4.54,10.02
2023-01-30,300526,中潜退,11.35,10.18
2023-01-30,600225,退市卓朗,7.06,9.01
2023-01-30,600532,退市未来,9.22,5.01
2023-01-30,600705,中航产融,5.2,9.92
2023-01-30,603261,*ST立航,39.0,10.0
2023-01-31,601028,玉龙股份,11.99,10.02
2023-01-31,603261,*ST立航,41.95,5.41
2023-02-01,300521,爱司凯,13.07,5.82
2023-02-01,300526,中潜退,12.0,6.4
2023-02-01,300799,左江退,99.79,6.87
2023-02-01,600297,广汇汽车,2.15,9.91
2023-02-01,600647,退市同达,13.33,6.53
2023-02-01,600705,中航产融,5.25,9.92
2023-02-01,600753,*ST海钦,13.88,5.05
2023-02-01,600767,退市运盛,5.33,5.07
2023-02-01,603508,思维列控,16.3,5.97
2023-02-02,300799,左江退,106.45,5.78
2023-02-02,600070,*ST富润,5.76,10.09
2023-02-02,600139,*ST西源,0.86,5.56
2023-02-02,600532,退市未来,10.67,5.02
2023-02-03,300799,左江退,112.52,5.65
2023-02-06,300935,盈建科,29.26,5.01
2023-02-06,600190,退市锦港,3.46,5.19
2023-02-06,600532,退市未来,11.2,5.0
2023-02-06,600753,*ST海钦,14.28,5.6
2023-02-06,601028,玉龙股份,13.9,6.66
2023-02-07,300495,*ST美尚,2.36,20.09
2023-02-07,301255,通力科技,39.03,5.74
2023-02-07,600393,ST粤泰,1.65,9.76
2023-02-07,600532,退市未来,11.88,5.02
2023-02-08,300495,*ST美尚,2.87,8.73
2023-02-08,600462,退市九有,2.1,5.21
2023-02-09,300799,左江退,121.2,5.46
2023-02-09,600265,ST景谷,15.56,5.03
2023-02-09,600337,美克家居,2.93,6.51
2023-02-10,600265,ST景谷,17.11,5.03
2023-02-13,301020,密封科技,19.45,5.24
2023-02-13,600139,*ST西源,0.7,5.48
2023-02-13,600200,退市苏吴,8.36,5.5
2023-02-13,600766,退市园城,15.99,6.07
2023-02-14,300534,陇神戎发,10.01,7.98
2023-02-14,300824,北鼎股份,9.9,7.22
2023-02-14,301020,密封科技,20.14,7.04
2023-02-14,301051,信濠光电,65.66,5.33
2023-02-14,600122,*ST宏图,1.35,5.19
2023-02-14,600139,*ST西源,0.74,5.19
2023-02-14,600242,退市中昌,1.31,5.34
2023-02-14,603963,*ST大药,13.3,7.44
2023-02-15,300955,嘉亨家化,27.38,5.98
2023-02-15,600213,*ST亚星,10.7,6.53
2023-02-15,600311,*ST荣华,0.95,5.43
2023-02-15,600462,退市九有,2.36,5.11
2023-02-15,600532,退市未来,12.42,5.0
2023-02-15,600781,退市辅仁,1.31,5.26
2023-02-16,301045,天禄科技,19.54,5.41
2023-02-16,600532,退市未来,13.15,5.0
2023-02-17,300955,嘉亨家化,27.52,8.16
2023-02-17,600242,退市中昌,1.45,5.07
2023-02-20,301303,真兰仪表,33.0,26.9
2023-02-20,301380,挖金客,41.01,7.56
2023-02-20,600731,湖南海利,8.84,5.89
