trade_date,code,name,open,pct_chg
2023-01-03,000977,浪潮信息,21.58,5.2
2023-01-03,001339,智微智能,20.4,9.98
2023-01-03,002031,巨轮智能,3.11,5.79
2023-01-03,002279,久其软件,7.36,10.06
2023-01-03,002643,万润股份,15.0,6.55
2023-01-03,002727,一心堂,31.49,5.33
2023-01-03,002827,高争民爆,9.39,10.01
2023-01-03,300249,依米康,8.46,6.06
2023-01-03,300687,赛意信息,29.56,7.8
2023-01-03,301236,软通动力,34.86,11.0
2023-01-03,600183,生益科技,14.46,5.34
2023-01-03,601226,华电科工,5.71,5.11
2023-01-03,603063,禾望电气,27.88,8.0
2023-01-03,603236,移远通信,100.23,6.43
2023-01-03,603399,永杉锂业,13.83,5.58
2023-01-03,603530,神马电力,15.17,9.99
2023-01-03,603757,大元泵业,19.29,6.58
2023-01-03,603912,佳力图,12.42,10.03
2023-01-03,688023,安恒信息,198.01,9.64
2023-01-03,688061,灿瑞科技,92.98,5.71
2023-01-03,688292,浩瀚深度,15.6,11.86
2023-01-03,688766,普冉股份,151.88,7.67
2023-01-04,002031,巨轮智能,3.29,10.03
2023-01-04,002279,久其软件,8.55,10.04
2023-01-04,300249,依米康,9.0,5.04
2023-01-04,301128,强瑞技术,27.38,20.0
2023-01-04,600279,重庆港,4.21,5.01
2023-01-04,603912,佳力图,15.2,9.99
2023-01-04,605336,帅丰电器,15.05,10.02
2023-01-05,002137,实益达,7.45,9.97
2023-01-05,002576,通达动力,12.03,10.04
2023-01-05,300393,中来股份,15.61,7.72
2023-01-05,300546,雄帝科技,22.84,5.18
2023-01-05,300718,长盛轴承,22.35,6.79
2023-01-05,603085,天成自控,10.81,6.69
2023-01-05,603105,芯能科技,15.34,10.0
2023-01-05,688073,毕得医药,85.75,9.18
2023-01-05,688123,聚辰股份,97.39,11.58
2023-01-05,688608,恒玄科技,114.49,6.01
2023-01-05,688696,极米科技,175.0,7.32
2023-01-06,002279,久其软件,8.0,7.4
2023-01-06,002576,通达动力,14.59,10.03
2023-01-06,002863,今飞凯达,5.5,10.04
2023-01-06,301278,快可电子,112.5,5.39
2023-01-06,600438,通威股份,38.55,5.06
2023-01-06,600586,金晶科技,9.23,6.54
2023-01-06,603105,芯能科技,17.28,9.98
2023-01-06,603527,众源新材,14.41,5.27
2023-01-09,002576,通达动力,16.05,10.01
2023-01-09,002645,华宏科技,16.61,10.02
2023-01-09,301007,德迈仕,11.45,7.7
2023-01-09,600586,金晶科技,9.84,7.26
2023-01-09,605177,东亚药业,20.97,10.0
2023-01-10,002279,久其软件,8.52,10.04
2023-01-10,002576,通达动力,16.0,10.03
