trade_date,code,name,open,pct_chg
2024-12-30,000759,中百集团,11.11,9.99
2024-12-30,300154,瑞凌股份,10.27,6.4
2024-12-30,600857,宁波中百,8.12,10.04
2024-12-30,603682,锦和商管,6.29,5.59
2024-12-30,603766,隆鑫通用,8.62,7.13
2024-12-30,920790,联迪信息,33.2,7.69
2024-12-31,000759,中百集团,12.49,10.01
2024-12-31,002693,*ST双成,17.51,6.2
2024-12-31,603682,锦和商管,6.69,10.0
2024-12-31,920375,派诺科技,17.74,7.05
2024-12-31,920556,雅达股份,7.02,7.62
2024-12-31,920802,保丽洁,14.77,5.14
2025-01-02,000759,中百集团,13.58,10.02
2025-01-02,000785,居然智家,3.57,6.16
2025-01-02,002251,步步高,4.03,5.06
2025-01-02,002364,中恒电气,10.37,10.01
2025-01-02,002693,*ST双成,18.87,9.98
2025-01-02,300766,每日互动,14.9,13.83
2025-01-02,600857,宁波中百,9.0,10.0
2025-01-02,603682,锦和商管,7.88,10.03
2025-01-02,688365,光云科技,12.4,13.17
2025-01-02,920375,派诺科技,17.51,5.29
2025-01-03,000785,居然智家,3.72,10.03
2025-01-03,301568,思泰克,34.2,20.0
2025-01-03,603823,百合花,9.15,5.27
2025-01-03,920475,三友科技,17.1,5.1
2025-01-06,000788,北大医药,6.0,9.93
2025-01-06,002364,中恒电气,11.0,9.97
2025-01-06,300233,金城医药,11.83,5.87
2025-01-06,300723,一品红,18.59,11.72
2025-01-06,300766,每日互动,14.51,16.11
2025-01-06,301089,拓新药业,28.69,5.32
2025-01-06,688502,茂莱光学,187.8,6.23
2025-01-06,688717,艾罗能源,45.89,9.18
2025-01-06,920344,三元基因,17.54,5.47
2025-01-06,920375,派诺科技,17.52,12.0
2025-01-06,920475,三友科技,17.6,7.07
2025-01-06,920566,梓橦宫,9.55,6.35
2025-01-07,000669,ST金鸿,2.13,5.19
2025-01-07,002067,景兴纸业,3.29,5.18
2025-01-07,002364,中恒电气,13.0,10.01
2025-01-07,002512,达华智能,4.1,5.16
2025-01-07,002689,ST远智,3.14,6.07
2025-01-07,002725,跃岭股份,10.0,7.01
2025-01-07,300099,尤洛卡,5.53,5.97
2025-01-07,300152,ST新动力,4.54,5.15
2025-01-07,300154,瑞凌股份,9.75,8.41
2025-01-07,300167,ST迪威迅,2.3,19.79
2025-01-07,300287,飞利信,3.91,5.94
2025-01-07,300329,海伦钢琴,4.88,5.59
2025-01-07,300394,天孚通信,89.8,7.22
2025-01-07,300605,恒锋信息,10.47,5.2
2025-01-07,300679,电连技术,52.87,6.99
