trade_date,code,name,open,pct_chg
2024-12-30,002424,ST百灵,3.7,5.09
2024-12-30,600850,电科数字,23.49,7.48
2024-12-31,000905,厦门港务,6.62,9.98
2024-12-31,002569,*ST步森,9.97,5.02
2024-12-31,301010,晶雪节能,21.64,11.39
2024-12-31,600191,华资实业,6.36,10.02
2024-12-31,600696,*ST岩石,11.65,6.03
2024-12-31,688660,电气风电,7.51,20.0
2025-01-02,002245,蔚蓝锂芯,11.76,10.01
2025-01-02,600191,华资实业,6.88,9.97
2025-01-03,002569,*ST步森,10.13,5.0
2025-01-03,301123,奕东电子,20.37,7.23
2025-01-03,603225,新凤鸣,11.0,5.65
2025-01-03,603559,ST通脉,10.01,5.04
2025-01-03,605199,ST葫芦娃,15.99,10.0
2025-01-03,688660,电气风电,8.08,17.14
2025-01-06,002166,莱茵生物,7.42,5.52
2025-01-06,002245,蔚蓝锂芯,11.44,6.09
2025-01-06,002951,金时科技,6.65,5.03
2025-01-06,300584,海辰药业,20.0,7.62
2025-01-06,300990,同飞股份,37.0,7.76
2025-01-06,600191,华资实业,6.45,10.07
2025-01-06,603269,海鸥股份,10.6,9.96
2025-01-06,603815,交建股份,5.43,9.96
2025-01-06,605199,ST葫芦娃,17.83,10.01
2025-01-06,688676,金盘科技,37.68,6.78
2025-01-07,000802,北京文化,7.13,5.87
2025-01-07,001208,华菱线缆,8.6,5.2
2025-01-07,002231,*ST奥维,5.4,5.5
2025-01-07,002245,蔚蓝锂芯,12.0,10.03
2025-01-07,002639,雪人集团,6.21,7.15
2025-01-07,002922,伊戈尔,17.26,5.45
2025-01-07,002927,泰永长征,14.8,10.03
2025-01-07,003004,*ST声迅,22.27,6.26
2025-01-07,300004,南风股份,5.79,7.43
2025-01-07,300128,锦富技术,5.15,10.55
2025-01-07,300189,神农种业,3.47,6.41
2025-01-07,300225,*ST金泰,6.16,8.63
2025-01-07,300269,联建光电,3.72,5.72
2025-01-07,300588,熙菱信息,12.3,5.47
2025-01-07,301120,新特电气,9.02,8.19
2025-01-07,301123,奕东电子,22.3,5.51
2025-01-07,600696,*ST岩石,10.64,5.31
2025-01-07,603269,海鸥股份,12.75,10.01
2025-01-07,603815,交建股份,6.16,9.74
2025-01-07,688051,佳华科技,19.18,5.88
2025-01-07,688668,鼎通科技,44.97,11.63
2025-01-07,688676,金盘科技,38.68,6.61
2025-01-07,920576,天力复合,22.3,7.97
2025-01-07,920662,方盛股份,18.31,7.17
2025-01-08,300128,锦富技术,5.64,7.77
2025-01-08,301126,达嘉维康,10.4,5.36
2025-01-08,600078,澄星股份,6.05,9.98
2025-01-08,603269,海鸥股份,14.03,10.04
2025-01-08,603315,福鞍股份,11.71,5.19
2025-01-08,603990,麦迪科技,10.73,10.05
2025-01-08,688668,鼎通科技,48.11,8.25
2025-01-08,920392,佳合科技,18.08,6.29
2025-01-08,920662,方盛股份,18.6,5.03
2025-01-09,001330,博纳影业,5.57,5.36
2025-01-09,300037,新宙邦,34.85,5.37
2025-01-09,301217,铜冠铜箔,9.82,6.81
2025-01-09,600183,生益科技,24.72,7.87
2025-01-09,603269,海鸥股份,15.43,9.98
2025-01-09,603990,麦迪科技,11.8,9.97
2025-01-09,605566,福莱蒽特,17.8,7.19
2025-01-09,688311,盟升电子,27.52,5.0
2025-01-09,688660,电气风电,8.55,6.62
2025-01-10,300344,*ST立方,5.3,19.91
2025-01-10,603990,麦迪科技,12.98,10.0
2025-01-13,000688,国城矿业,11.25,6.05
2025-01-13,002338,奥普光电,35.2,6.66
2025-01-13,002497,雅化集团,11.61,10.02
2025-01-13,300049,福瑞医科,30.0,7.41
2025-01-13,300137,先河环保,5.62,6.27
2025-01-13,300290,荣科科技,17.89,11.56
2025-01-13,300344,*ST立方,5.42,13.58
2025-01-13,300509,新美星,7.15,9.45
2025-01-13,600191,华资实业,6.28,10.03
2025-01-13,603225,新凤鸣,11.25,5.57
2025-01-13,603815,交建股份,5.73,9.95
2025-01-13,688048,长光华芯,38.0,20.0
2025-01-13,688418,震有科技,28.36,5.25
2025-01-14,000528,柳    工,10.88,6.17
2025-01-14,000566,海南海药,4.33,5.31
2025-01-14,000632,三木集团,3.34,6.29
2025-01-14,000695,滨海能源,9.65,5.31
2025-01-14,001208,华菱线缆,8.46,5.71
2025-01-14,001326,联域股份,30.89,8.21
2025-01-14,001376,百通能源,12.89,5.66
2025-01-14,002046,国机精工,12.26,6.64
2025-01-14,002104,恒宝股份,6.17,5.71
2025-01-14,002235,安妮股份,4.97,6.3
2025-01-14,002253,*ST智胜,13.75,6.75
2025-01-14,002294,信立泰,28.9,5.82
2025-01-14,002468,申通快递,10.34,10.01
2025-01-14,002596,海南瑞泽,2.83,7.45
2025-01-14,002639,雪人集团,6.35,6.4
2025-01-14,002735,王子新材,8.85,5.18
2025-01-14,002795,永和智控,3.87,6.98
2025-01-14,002803,吉宏股份,11.9,6.35
2025-01-14,002853,皮阿诺,10.92,9.97
2025-01-14,002856,美芝股份,8.24,8.37
2025-01-14,002885,京泉华,12.38,5.54
2025-01-14,002903,宇环数控,15.77,10.01
2025-01-14,002919,名臣健康,14.92,5.43
2025-01-14,002922,伊戈尔,16.12,10.03
2025-01-14,002957,科瑞技术,14.85,6.18
2025-01-14,003004,*ST声迅,22.79,5.6
2025-01-14,300004,南风股份,5.86,7.53
2025-01-14,300082,奥克股份,5.85,5.15
2025-01-14,300086,康芝药业,4.6,5.52
2025-01-14,300189,神农种业,3.6,6.11
2025-01-14,300269,联建光电,3.86,7.11
