trade_date,code,name,open,pct_chg
2024-12-30,000766,通化金马,15.12,5.47
2024-12-30,002629,仁智股份,3.51,9.97
2024-12-30,002861,瀛通通讯,13.68,10.02
2024-12-30,300693,盛弘股份,26.1,7.89
2024-12-30,300895,铜牛信息,34.0,5.3
2024-12-30,600186,莲花控股,5.39,5.71
2024-12-30,688313,仕佳光子,15.26,12.69
2024-12-31,002629,仁智股份,3.98,10.1
2024-12-31,002733,雄韬股份,13.34,6.3
2024-12-31,300483,首华燃气,9.37,10.07
2024-12-31,600186,莲花控股,5.02,10.04
2025-01-02,000017,深中华A,5.89,10.0
2025-01-02,002418,康盛股份,2.48,9.84
2025-01-02,002495,佳隆股份,2.51,9.84
2025-01-02,300945,曼卡龙,11.21,9.75
2025-01-02,600186,莲花控股,5.96,10.0
2025-01-02,600785,新华百货,12.86,5.97
2025-01-02,603536,惠发食品,11.58,5.31
2025-01-02,603711,香飘飘,16.0,5.85
2025-01-03,002733,雄韬股份,13.81,9.97
2025-01-03,600618,氯碱化工,10.0,10.0
2025-01-03,920111,聚星科技,23.55,8.49
2025-01-03,920701,豪声电子,27.63,5.0
2025-01-06,002418,康盛股份,2.57,9.88
2025-01-06,002480,新筑股份,4.59,10.11
2025-01-06,002733,雄韬股份,15.1,10.03
2025-01-06,300313,*ST天山,6.0,19.96
2025-01-06,300693,盛弘股份,25.75,5.38
2025-01-06,301093,华兰股份,24.02,5.5
2025-01-06,600618,氯碱化工,10.8,10.01
2025-01-06,920046,亿能电力,14.1,7.9
2025-01-06,920230,欧康医药,15.0,5.91
2025-01-06,920266,生物谷,9.3,7.1
2025-01-07,001268,联合精密,16.82,5.47
2025-01-07,002177,御银股份,4.41,9.98
2025-01-07,002418,康盛股份,2.86,10.07
2025-01-07,002474,榕基软件,5.44,5.6
2025-01-07,002629,仁智股份,3.47,6.84
2025-01-07,002733,雄韬股份,17.0,9.99
2025-01-07,002848,*ST高斯,6.8,6.63
2025-01-07,300440,运达科技,6.68,6.18
2025-01-07,300594,朗进科技,15.48,5.36
2025-01-07,300713,英可瑞,14.25,6.88
2025-01-07,300837,浙矿股份,19.08,8.57
2025-01-07,300945,曼卡龙,11.65,7.04
2025-01-07,300964,本川智能,33.0,5.1
2025-01-07,600601,方正科技,4.04,9.9
2025-01-07,600692,亚通股份,8.03,6.32
2025-01-07,603306,华懋科技,30.3,7.39
2025-01-07,603657,春光科技,13.2,6.89
