trade_date,code,name,open,pct_chg
2023-01-03,002199,*ST东晶,6.37,6.73
2023-01-03,002394,联发股份,8.5,10.01
2023-01-03,002669,康达新材,12.83,5.21
2023-01-03,002965,祥鑫科技,58.61,10.0
2023-01-03,002976,瑞玛精密,22.7,5.08
2023-01-03,002987,京北方,26.75,6.02
2023-01-03,300093,*ST金刚,44.0,8.47
2023-01-03,300322,硕贝德,7.19,5.01
2023-01-03,300449,汉邦高科,4.71,5.76
2023-01-03,300525,博思软件,19.6,9.09
2023-01-03,300541,先进数通,11.29,7.05
2023-01-03,300579,数字认证,24.34,6.09
2023-01-03,300588,熙菱信息,9.2,5.1
2023-01-03,300634,彩讯股份,15.34,11.93
2023-01-03,300766,每日互动,10.45,6.1
2023-01-03,300817,双飞集团,17.13,5.13
2023-01-03,300938,信测标准,33.41,8.1
2023-01-03,301076,新瀚新材,25.15,14.09
2023-01-03,603189,网达软件,13.89,9.99
2023-01-03,603232,格尔软件,15.06,10.0
2023-01-03,603398,*ST沐邦,28.16,5.5
2023-01-03,603416,信捷电气,46.01,5.56
2023-01-03,603655,朗博科技,24.98,7.95
2023-01-03,605286,同力天启,42.39,10.01
2023-01-03,605289,罗曼股份,21.05,9.08
2023-01-03,688158,优刻得-W,12.66,9.67
2023-01-03,688225,亚信安全,17.08,5.2
2023-01-03,688227,品高股份,19.62,8.91
2023-01-03,688258,卓易信息,40.97,14.96
2023-01-03,688290,景业智能,71.05,5.23
2023-01-04,002043,兔 宝 宝,10.62,10.0
2023-01-04,603029,天鹅股份,28.74,6.13
2023-01-04,920271,邦德股份,8.23,12.0
2023-01-05,002043,兔 宝 宝,12.19,10.03
2023-01-05,300817,双飞集团,17.79,5.23
2023-01-05,300863,卡倍亿,88.8,10.0
2023-01-05,300933,中辰股份,7.64,11.9
2023-01-05,688197,首药控股-U,26.21,7.63
2023-01-05,688226,威腾电气,27.1,5.45
2023-01-05,688366,昊海生科,91.37,8.76
2023-01-05,920167,同享科技,12.92,5.19
2023-01-06,000755,山西高速,5.6,9.98
2023-01-06,002683,广东宏大,27.35,10.02
2023-01-06,301168,通灵股份,72.52,11.18
2023-01-06,603398,*ST沐邦,30.0,6.54
2023-01-06,605286,同力天启,49.2,7.35
2023-01-06,688226,威腾电气,28.98,9.71
2023-01-09,002669,康达新材,13.79,7.81
2023-01-09,002892,科力尔,11.83,9.99
2023-01-09,300688,创业黑马,18.45,5.31
2023-01-09,300863,卡倍亿,103.1,9.41
2023-01-09,300930,屹通新材,26.52,5.6
2023-01-09,301321,翰博高新,19.7,8.48
2023-01-09,603090,宏盛股份,30.37,10.01
2023-01-09,605289,罗曼股份,22.6,10.0
2023-01-09,688290,景业智能,73.51,5.41
2023-01-10,002043,兔 宝 宝,12.99,10.02
2023-01-10,002103,广博股份,5.59,10.0
2023-01-10,603738,泰晶科技,21.45,10.0
2023-01-10,605289,罗曼股份,25.15,10.02
2023-01-11,002043,兔 宝 宝,15.37,5.13
2023-01-11,002103,广博股份,6.78,10.06
2023-01-11,002622,皓宸医疗,3.78,5.54
2023-01-11,002669,康达新材,15.93,10.01
2023-01-11,300817,双飞集团,19.58,9.12
2023-01-11,605289,罗曼股份,28.17,5.78
2023-01-11,688117,圣诺生物,24.39,7.87
2023-01-11,920271,邦德股份,8.85,7.13
2023-01-12,002043,兔 宝 宝,15.6,10.03
2023-01-12,688197,首药控股-U,28.7,8.99
2023-01-13,000632,三木集团,4.55,5.93
2023-01-13,001208,华菱线缆,9.74,6.27
2023-01-13,002103,广博股份,6.13,6.06
2023-01-13,300688,创业黑马,18.36,6.2
2023-01-13,603215,比依股份,14.92,6.1
2023-01-13,688197,首药控股-U,31.36,13.17
2023-01-16,002793,罗欣药业,8.0,10.04
2023-01-16,002971,和远气体,19.39,6.94
2023-01-16,600156,华升股份,4.67,5.78
2023-01-16,603110,东方材料,34.7,5.97
2023-01-16,603187,海容冷链,29.77,6.08
2023-01-16,688084,晶品特装,74.21,5.96
2023-01-16,688105,诺唯赞,58.29,6.27
2023-01-16,688225,亚信安全,18.17,5.12
2023-01-16,688290,景业智能,72.72,6.63
2023-01-17,000755,山西高速,5.9,10.02
2023-01-17,300092,科新机电,13.63,17.4
2023-01-17,600416,湘电股份,18.39,6.44
2023-01-17,688258,卓易信息,40.28,5.61
2023-01-17,688393,安必平,22.86,5.95
2023-01-18,000617,中油资本,5.64,7.99
2023-01-18,300102,乾照光电,6.59,5.18
2023-01-18,300634,彩讯股份,16.4,5.52
2023-01-18,688158,优刻得-W,14.19,6.32
2023-01-18,688290,景业智能,76.98,5.22
2023-01-18,688389,普门科技,22.14,5.37
2023-01-19,300634,彩讯股份,17.25,6.8
2023-01-19,300766,每日互动,10.8,5.27
2023-01-19,688311,盟升电子,77.63,6.18
2023-01-20,000632,三木集团,4.68,5.14
2023-01-20,002787,华源控股,6.71,9.99
2023-01-20,688227,品高股份,22.73,5.55
2023-01-30,002389,航天彩虹,21.76,9.02
2023-01-30,002787,华源控股,8.1,10.03
2023-01-30,002976,瑞玛精密,25.38,10.02
2023-01-30,300364,中文在线,10.33,11.22
2023-01-30,300427,红相股份,18.76,5.9
2023-01-30,301076,新瀚新材,28.59,9.12
2023-01-30,603178,圣龙股份,10.65,6.46
2023-01-30,603701,德宏股份,21.64,9.3
2023-01-30,688197,首药控股-U,33.7,5.4
2023-01-31,002527,新时达,6.65,10.0
2023-01-31,002892,科力尔,13.0,6.21
2023-01-31,300159,*ST新研,2.72,19.84
2023-01-31,300688,创业黑马,19.84,11.02
2023-01-31,300745,欣锐科技,39.94,10.04
2023-01-31,301076,新瀚新材,29.23,5.62
2023-01-31,605289,罗曼股份,31.59,6.07
2023-01-31,688084,晶品特装,82.0,6.44
2023-01-31,920092,汉鑫科技,14.1,6.39
2023-01-31,920146,华阳变速,3.11,5.88
2023-01-31,920245,威博液压,10.95,5.05
2023-01-31,920271,邦德股份,9.6,7.62
2023-01-31,920305,*ST云创,11.21,9.19
2023-01-31,920339,恒太照明,5.2,5.8
2023-01-31,920378,泰德股份,3.3,5.78
2023-01-31,920670,数字人,8.3,7.43
2023-02-01,000617,中油资本,5.95,5.71
2023-02-01,002168,*ST惠程,4.06,7.41
2023-02-01,002527,新时达,7.51,5.7
2023-02-01,002683,广东宏大,31.43,5.31
2023-02-01,002965,祥鑫科技,65.52,8.42
2023-02-01,300159,*ST新研,3.22,7.62
2023-02-01,300245,天玑科技,8.54,9.82
2023-02-01,300348,长亮科技,11.24,6.14
2023-02-01,300766,每日互动,11.54,5.8
2023-02-01,603232,格尔软件,16.99,5.9
2023-02-01,688197,首药控股-U,33.96,5.97
2023-02-01,688311,盟升电子,82.9,6.6
2023-02-02,300149,睿智医药,10.71,7.02
2023-02-02,300364,中文在线,10.72,8.77
2023-02-02,600238,*ST椰岛,14.18,6.33
2023-02-02,603398,*ST沐邦,29.3,5.35
2023-02-02,603983,丸美生物,33.5,10.01
2023-02-02,688197,首药控股-U,36.0,9.69
2023-02-03,002103,广博股份,5.7,9.93
2023-02-03,300302,同有科技,7.83,5.34
2023-02-03,603029,天鹅股份,25.6,6.28
2023-02-03,603983,丸美生物,37.66,5.33
2023-02-03,688197,首药控股-U,38.88,5.57
2023-02-03,688371,菲沃泰,21.91,6.9
2023-02-03,920305,*ST云创,11.58,10.18
2023-02-06,002103,广博股份,6.57,9.98
2023-02-06,002987,京北方,31.08,6.48
2023-02-06,300245,天玑科技,9.8,6.51
2023-02-06,688158,优刻得-W,16.39,5.22
2023-02-06,688393,安必平,25.83,6.24
2023-02-07,300567,精测电子,58.19,5.34
2023-02-08,002328,新朋股份,5.75,9.93
2023-02-08,300092,科新机电,15.85,5.01
2023-02-08,300933,中辰股份,8.43,5.12
2023-02-08,603029,天鹅股份,27.62,6.1
2023-02-08,688158,优刻得-W,17.47,6.52
2023-02-08,688371,菲沃泰,23.02,5.99
2023-02-08,688393,安必平,26.48,5.52
2023-02-09,002328,新朋股份,6.94,9.98
2023-02-09,002987,京北方,30.99,5.59
2023-02-09,300053,航宇微,8.05,7.98
2023-02-09,300449,汉邦高科,5.61,13.64
2023-02-09,301076,新瀚新材,33.58,5.96
2023-02-09,301321,翰博高新,21.41,5.63
2023-02-09,301326,捷邦科技,44.4,5.77
2023-02-09,605286,同力天启,46.2,5.63
2023-02-09,688226,威腾电气,27.3,7.56
2023-02-09,688258,卓易信息,46.02,6.17
2023-02-10,300449,汉邦高科,6.78,20.06
2023-02-10,600697,欧亚集团,13.15,5.42
2023-02-13,000039,中集集团,7.42,5.01
2023-02-13,002043,兔 宝 宝,13.2,6.09
2023-02-13,002755,奥赛康,8.8,5.22
2023-02-13,002976,瑞玛精密,26.0,10.0
2023-02-13,300745,欣锐科技,47.74,7.24
2023-02-13,300863,卡倍亿,98.6,7.78
