trade_date,code,name,open,pct_chg
2023-01-03,000150,*ST宜康,1.4,5.26
2023-01-03,000606,顺利退,2.09,5.03
2023-01-03,000806,银河退,1.85,5.11
2023-01-03,000836,ST富通,2.71,6.27
2023-01-03,002308,*ST威创,4.25,10.07
2023-01-03,002336,人乐退,19.07,10.02
2023-01-03,002411,必康退,7.29,5.03
2023-01-03,002417,深南退,6.4,5.08
2023-01-03,002808,*ST恒久,7.16,5.16
2023-01-03,002952,亚世光电,14.97,6.88
2023-01-03,300089,文化退,2.21,6.05
2023-01-03,300108,*ST吉药,1.96,8.25
2023-01-03,300336,新文退,1.66,19.86
2023-01-04,000540,*ST中天,1.52,5.23
2023-01-04,000732,ST泰禾,1.35,5.15
2023-01-04,000961,ST中南,2.32,9.82
2023-01-04,002411,必康退,7.4,5.06
2023-01-04,002781,奇信退,6.32,5.07
2023-01-04,002992,宝明科技,57.27,5.8
2023-01-04,300273,和佳退,2.15,5.83
2023-01-05,000040,*ST旭蓝,3.77,7.18
2023-01-05,000806,银河退,1.95,5.15
2023-01-05,000836,ST富通,2.88,10.1
2023-01-05,000929,*ST兰黄,12.1,10.02
2023-01-05,002089,新海退,2.17,5.09
2023-01-05,300108,*ST吉药,2.13,5.34
2023-01-05,300117,*ST嘉寓,3.64,7.99
2023-01-06,000040,*ST旭蓝,3.98,9.93
2023-01-09,300392,腾信退,3.78,5.24
2023-01-10,000996,中期退,6.42,6.49
2023-01-11,002621,*ST美吉,4.38,5.77
2023-01-12,001215,千味央厨,66.95,10.0
2023-01-12,002435,ST长康,4.75,6.37
2023-01-12,002504,*ST弘高,1.4,5.04
2023-01-12,002776,*ST柏龙,2.77,5.02
2023-01-12,002808,*ST恒久,7.8,9.96
2023-01-12,002952,亚世光电,16.09,10.02
2023-01-12,300273,和佳退,2.11,5.26
2023-01-13,000982,中银绒业,1.78,5.62
2023-01-13,002505,鹏都农牧,2.51,10.0
2023-01-16,000416,*ST民控,3.87,10.05
2023-01-16,002280,ST联络,3.12,10.1
2023-01-16,002308,*ST威创,5.01,5.17
2023-01-16,002718,友邦吊顶,14.88,9.97
2023-01-16,002776,*ST柏龙,3.0,5.17
2023-01-16,002808,*ST恒久,8.08,9.98
2023-01-16,300273,和佳退,2.28,8.0
2023-01-16,300309,吉艾退,0.77,5.26
2023-01-17,002808,*ST恒久,9.82,9.97
2023-01-17,002952,亚世光电,16.71,9.99
2023-01-18,000046,*ST泛海,1.24,9.76
2023-01-18,000587,*ST金洲,0.97,5.38
2023-01-18,002502,ST鼎龙,3.4,5.92
2023-01-18,002808,*ST恒久,10.8,9.98
2023-01-18,003005,竞业达,39.29,10.0
2023-01-19,002808,*ST恒久,11.88,10.0
2023-01-20,002621,*ST美吉,4.41,10.0
2023-01-20,002808,*ST恒久,13.07,10.02
2023-01-20,300089,文化退,1.43,18.12
2023-01-30,000851,*ST高鸿,5.3,5.53
2023-01-30,001215,千味央厨,71.28,5.2
2023-01-30,002621,*ST美吉,5.04,9.92
2023-01-30,002808,*ST恒久,14.38,10.02
2023-01-30,003005,竞业达,41.11,10.01
2023-01-30,300089,文化退,1.64,18.4
2023-01-30,300297,蓝盾退,1.29,5.47
2023-01-30,300309,吉艾退,0.58,20.69
2023-01-30,300392,腾信退,3.23,5.38
2023-01-31,000752,ST西发,3.68,5.12
2023-01-31,000861,海印股份,2.24,5.38
2023-01-31,002499,科林退,1.52,5.0
2023-01-31,002751,易尚退,7.35,5.01
2023-01-31,002808,*ST恒久,15.36,10.01
2023-01-31,003032,*ST传智,17.68,5.95
2023-01-31,300297,蓝盾退,1.33,12.59
2023-01-31,300309,吉艾退,0.7,20.0
2023-02-01,002505,鹏都农牧,2.84,5.65
2023-02-01,002808,*ST恒久,16.49,9.99
2023-02-01,002992,宝明科技,48.37,10.01
2023-02-01,003032,*ST传智,17.59,9.98
2023-02-01,300309,吉艾退,0.86,20.24
2023-02-02,000666,经纬纺机,10.86,7.04
2023-02-02,000929,*ST兰黄,10.75,6.47
2023-02-02,001215,千味央厨,72.46,10.01
2023-02-02,002336,人乐退,13.48,6.05
2023-02-03,300089,文化退,1.93,16.33
2023-02-03,300096,ST易联众,6.56,16.84
2023-02-06,000851,*ST高鸿,6.18,10.03
2023-02-06,002411,必康退,6.87,5.05
2023-02-06,300089,文化退,2.31,7.46
2023-02-07,000622,恒立退,4.63,10.0
