trade_date,code,name,open,pct_chg
2024-12-30,002187,广百股份,7.0,6.29
2024-12-30,002361,神剑股份,4.95,10.0
2024-12-30,002931,锋龙股份,14.8,9.99
2024-12-30,600599,*ST熊猫,13.2,5.01
2024-12-30,600605,汇通能源,33.21,7.62
2024-12-30,600629,华建集团,8.31,10.06
2024-12-30,603007,*ST花王,9.58,5.04
2024-12-30,603429,集友股份,6.25,6.03
2024-12-30,688433,华曙高科,22.3,5.27
2024-12-31,002361,神剑股份,5.45,10.1
2024-12-31,603007,*ST花王,10.06,5.01
2024-12-31,605598,上海港湾,20.9,7.22
2025-01-02,002187,广百股份,6.85,10.03
2025-01-02,002306,*ST云网,3.01,10.07
2025-01-02,002931,锋龙股份,16.2,6.7
2025-01-03,002361,神剑股份,5.7,9.93
2025-01-03,300472,*ST新元,6.61,6.07
2025-01-03,603007,*ST花王,11.09,5.02
2025-01-06,001217,华尔泰,11.93,9.98
2025-01-06,002261,拓维信息,16.59,6.57
2025-01-06,300472,*ST新元,7.0,6.01
2025-01-06,300753,爱朋医疗,16.8,8.41
2025-01-06,600259,广晟有色,26.85,9.99
2025-01-07,000430,*ST张股,6.28,9.95
2025-01-07,001309,德明利,82.2,10.0
2025-01-07,001317,三羊马,25.96,5.72
2025-01-07,002187,广百股份,6.32,10.06
2025-01-07,002243,力合科创,7.53,7.05
2025-01-07,002361,神剑股份,5.89,9.98
2025-01-07,002571,德力股份,3.98,6.33
2025-01-07,002591,恒大高新,4.48,8.48
2025-01-07,002652,扬子新材,2.62,5.75
2025-01-07,002789,*ST建艺,8.38,5.15
2025-01-07,002875,安奈儿,11.76,5.2
2025-01-07,002916,深南电路,118.39,6.45
2025-01-07,300555,ST路通,8.25,8.51
2025-01-07,300854,中兰环保,11.42,5.39
2025-01-07,301027,华蓝集团,14.98,7.17
2025-01-07,301486,致尚科技,41.11,20.0
2025-01-07,301550,斯菱智驱,61.8,5.74
2025-01-07,600355,*ST精伦,3.16,6.03
2025-01-07,600629,华建集团,7.47,10.05
2025-01-07,603179,新泉股份,44.37,5.51
2025-01-07,603226,菲林格尔,4.09,5.83
2025-01-07,603843,*ST正平,3.43,5.57
2025-01-07,605598,上海港湾,22.99,10.0
2025-01-07,688090,瑞松科技,32.3,7.75
2025-01-07,688125,安达智能,36.61,6.02
2025-01-07,688239,航宇科技,35.09,5.2
2025-01-07,688343,云天励飞-U,42.98,5.94
2025-01-07,688372,伟测科技,56.34,7.99
2025-01-07,688433,华曙高科,22.5,6.55
2025-01-07,688521,芯原股份,44.95,6.46
2025-01-07,688776,国光电气,45.11,6.55
2025-01-08,002173,创新医疗,8.52,10.01
2025-01-08,002187,广百股份,7.32,9.97
2025-01-08,300125,*ST聆达,4.63,5.16
2025-01-08,300472,*ST新元,7.68,5.31
2025-01-08,301550,斯菱智驱,64.84,8.13
2025-01-08,600629,华建集团,8.39,5.68
2025-01-08,920199,倍益康,20.55,8.88
2025-01-09,002571,德力股份,4.38,10.05
2025-01-09,002965,祥鑫科技,30.45,5.21
2025-01-09,301550,斯菱智驱,70.48,9.22
2025-01-09,600410,华胜天成,6.89,10.0
2025-01-09,603186,华正新材,22.27,10.0
2025-01-09,603226,菲林格尔,4.48,5.33
2025-01-09,603608,天创时尚,3.34,5.09
2025-01-09,688776,国光电气,45.98,5.99
2025-01-09,920510,丰光精密,17.0,5.27
2025-01-10,002187,广百股份,7.65,9.97
2025-01-10,002571,德力股份,5.05,9.96
2025-01-13,002647,*ST仁东,4.4,5.03
2025-01-13,300753,爱朋医疗,18.4,8.27
2025-01-13,300980,祥源新材,20.69,6.59
2025-01-13,688090,瑞松科技,34.5,6.79
2025-01-13,688234,天岳先进,46.32,6.12
2025-01-13,688536,思瑞浦,78.66,5.49
2025-01-14,000659,珠海中富,2.58,5.1
2025-01-14,000777,中核科技,19.88,10.02
2025-01-14,000821,京山轻机,11.73,5.2
2025-01-14,000917,电广传媒,6.51,6.4
2025-01-14,000936,华西股份,6.6,5.06
2025-01-14,001217,华尔泰,11.11,5.07
2025-01-14,001309,德明利,86.44,7.89
2025-01-14,002009,天奇股份,13.43,6.25
2025-01-14,002072,凯瑞德,4.08,7.64
2025-01-14,002163,海南发展,8.01,5.4
2025-01-14,002221,东华能源,9.38,8.34
2025-01-14,002243,力合科创,7.55,6.5
2025-01-14,002261,拓维信息,17.0,7.04
2025-01-14,002272,川润股份,8.05,8.54
2025-01-14,002324,普利特,8.87,5.37
2025-01-14,002339,积成电子,6.46,6.11
2025-01-14,002347,泰尔股份,6.62,10.08
2025-01-14,002361,神剑股份,4.8,6.12
2025-01-14,002383,合众思壮,7.48,5.35
2025-01-14,002591,恒大高新,4.72,6.57
2025-01-14,002647,*ST仁东,4.82,5.01
2025-01-14,002652,扬子新材,2.64,5.68
2025-01-14,002691,冀凯股份,4.75,10.04
2025-01-14,002789,*ST建艺,8.48,5.72
2025-01-14,002796,世嘉科技,10.6,5.71
2025-01-14,002866,传艺科技,14.68,5.24
2025-01-14,002875,安奈儿,11.82,7.11
2025-01-14,002965,祥鑫科技,32.95,6.34
2025-01-14,002969,嘉美包装,3.14,10.18
2025-01-14,003016,欣贺股份,7.39,8.11
2025-01-14,003027,同兴科技,13.98,5.67
2025-01-14,300125,*ST聆达,4.39,6.98
2025-01-14,300205,*ST天喻,3.96,6.36
2025-01-14,300291,百纳千成,4.65,7.42
2025-01-14,300427,红相股份,5.45,5.17
2025-01-14,300430,诚益通,15.21,7.77
2025-01-14,300472,*ST新元,7.08,6.0
2025-01-14,300489,光智科技,49.9,5.77
2025-01-14,300644,南京聚隆,20.98,6.77
2025-01-14,300690,双一科技,21.1,6.6
2025-01-14,300753,爱朋医疗,19.15,6.82
2025-01-14,300844,山水比德,29.49,5.54
2025-01-14,300854,中兰环保,11.65,6.79
2025-01-14,300877,金春股份,12.84,6.46
2025-01-14,300960,通业科技,21.0,6.23
2025-01-14,300980,祥源新材,22.44,5.91
2025-01-14,301005,超捷股份,27.88,5.36
2025-01-14,301085,亚康股份,61.27,6.76
2025-01-14,301118,恒光股份,17.16,5.07
2025-01-14,301165,锐捷网络,65.0,8.39
2025-01-14,301209,联合化学,26.91,5.45
2025-01-14,301231,荣信文化,16.79,8.51
2025-01-14,301237,和顺科技,22.63,5.22
2025-01-14,301293,三博脑科,42.28,5.13
2025-01-14,301486,致尚科技,45.49,5.0
2025-01-14,301550,斯菱智驱,76.05,10.75
2025-01-14,600029,南方航空,6.04,6.63
2025-01-14,600115,中国东航,3.71,5.91
2025-01-14,600178,东安动力,10.6,5.8
2025-01-14,600355,*ST精伦,3.29,7.08
2025-01-14,600410,华胜天成,6.83,10.07
2025-01-14,600629,华建集团,8.1,5.14
2025-01-14,600810,神马股份,7.55,5.27
2025-01-14,601111,中国国航,7.28,7.01
2025-01-14,603007,*ST花王,12.2,5.0
2025-01-14,603040,新坐标,22.03,6.22
2025-01-14,603226,菲林格尔,4.66,7.76
2025-01-14,603429,集友股份,5.81,6.48
2025-01-14,603577,汇金通,7.6,6.15
2025-01-14,603686,福龙马,9.52,7.01
2025-01-14,603843,*ST正平,3.68,5.37
2025-01-14,603879,永悦科技,3.52,5.13
